,Country,Economy
99,Tajikistan,0.4884
100,Mongolia,0.9885
101,Laos,0.6804
102,Nigeria,0.7522
103,Honduras,0.6943
104,Iran,1.1176
105,Zambia,0.612
106,Nepal,0.4463
107,Palestinian Territories,0.6702
108,Albania,0.9553
109,Bangladesh,0.5418
110,Sierra Leone,0.3649
111,Iraq,1.0747
112,Namibia,0.9329
113,Cameroon,0.525
114,Ethiopia,0.2928
115,South Africa,1.0242
116,Sri Lanka,0.9732
117,India,0.7404
118,Myanmar,0.3411
119,Egypt,0.954
120,Armenia,0.8609
121,Kenya,0.5227
122,Ukraine,0.8729
123,Ghana,0.6311
124,Congo (Kinshasa),0.0566
125,Georgia,0.8379
126,Congo (Brazzaville),0.7711
127,Senegal,0.4431
128,Bulgaria,1.1131
129,Mauritania,0.6139
130,Zimbabwe,0.3504
131,Malawi,0.0871
132,Sudan,0.6307
133,Gabon,1.1585
134,Mali,0.3129
135,Haiti,0.341
136,Botswana,1.0943
137,Comoros,0.2751
138,Ivory Coast,0.5551
139,Cambodia,0.556
140,Angola,0.8473
141,Niger,0.1327
142,South Sudan,0.3939
143,Chad,0.4221
144,Burkina Faso,0.32
145,Uganda,0.3472
146,Yemen,0.5794
147,Madagascar,0.2795
148,Tanzania,0.4716
149,Liberia,0.1071
150,Guinea,0.2242
151,Rwanda,0.3285
152,Benin,0.395
153,Afghanistan,0.3823
154,Togo,0.2812
155,Syria,0.7472
156,Burundi,0.0683
0,Norway,1.6165
1,Denmark,1.4824
2,Iceland,1.4806
3,Switzerland,1.565
4,Finland,1.4436
5,Netherlands,1.5039
6,Canada,1.4792
7,New Zealand,1.4057
8,Sweden,1.4944
9,Australia,1.4844
10,Israel,1.3754
11,Costa Rica,1.1097
12,Austria,1.4871
13,United States,1.5463
14,Ireland,1.5357
15,Germany,1.4879
16,Belgium,1.4638
17,Luxembourg,1.7419
18,United Kingdom,1.4416
19,Chile,1.2528
20,United Arab Emirates,1.6263
21,Brazil,1.1074
22,Czech Republic,1.3527
23,Argentina,1.1853
24,Mexico,1.1532
25,Singapore,1.6923
26,Malta,1.3433
27,Uruguay,1.2176
28,Guatemala,0.872
29,Panama,1.2337
30,France,1.4309
31,Thailand,1.1279
32,Taiwan,1.4336
33,Spain,1.3844
34,Qatar,1.8708
35,Colombia,1.0706
36,Saudi Arabia,1.5306
37,Trinidad and Tobago,1.3614
38,Kuwait,1.633
39,Slovakia,1.3254
40,Bahrain,1.4884
41,Malaysia,1.2912
42,Nicaragua,0.7373
43,Ecuador,1.0008
44,El Salvador,0.9098
45,Poland,1.2918
46,Uzbekistan,0.7864
47,Italy,1.3951
48,Russia,1.2818
49,Belize,0.908
50,Japan,1.4169
51,Lithuania,1.3146
52,Algeria,1.0919
53,Latvia,1.2607
54,South Korea,1.4017
55,Moldova,0.7289
56,Romania,1.2177
57,Bolivia,0.8338
58,Turkmenistan,1.1308
59,Kazakhstan,1.2846
60,North Cyprus,1.3469
61,Slovenia,1.3412
62,Peru,1.0352
63,Mauritius,1.1894
64,Cyprus,1.3559
65,Estonia,1.3209
66,Belarus,1.1566
67,Libya,1.1018
68,Turkey,1.1983
69,Paraguay,0.9325
70,Hong Kong,1.5517
71,Philippines,0.8577
72,Serbia,1.0693
73,Jordan,0.991
74,Hungary,1.286
75,Jamaica,0.9256
76,Croatia,1.2226
77,Kosovo,0.9515
78,China,1.0812
79,Pakistan,0.7269
80,Indonesia,0.9955
81,Venezuela,1.1284
82,Montenegro,1.1211
83,Morocco,0.8781
84,Azerbaijan,1.1536
85,Dominican Republic,1.0794
86,Greece,1.2895
87,Lebanon,1.075
88,Portugal,1.3152
89,Bosnia and Herzegovina,0.9824
90,Honduras,0.7306
91,Macedonia,1.0646
92,Somalia,0.0226
93,Vietnam,0.7885
94,Nigeria,0.7838
95,Tajikistan,0.5247
96,Bhutan,0.8854
97,Kyrgyzstan,0.5962
98,Nepal,0.4798
99,Mongolia,1.0272
100,South Africa,1.0547
101,Tunisia,1.0073
102,Palestinian Territories,0.7162
103,Egypt,0.9897
104,Bulgaria,1.1615
105,Sierra Leone,0.3684
106,Cameroon,0.5643
107,Iran,1.1569
108,Albania,0.9962
109,Bangladesh,0.5867
110,Namibia,0.9644
111,Kenya,0.5605
112,Mozambique,0.2343
113,Myanmar,0.3671
114,Senegal,0.4793
115,Zambia,0.6364
116,Iraq,1.1027
117,Gabon,1.1982
