,Country,Happiness Score
0,Finland,7.769
1,Denmark,7.6
2,Norway,7.554
3,Iceland,7.494
4,Netherlands,7.488
5,Switzerland,7.48
6,Sweden,7.343
7,New Zealand,7.307
8,Canada,7.278
9,Austria,7.246
10,Australia,7.228
11,Costa Rica,7.167
12,Israel,7.139
13,Luxembourg,7.09
14,United Kingdom,7.054
15,Ireland,7.021
16,Germany,6.985
17,Belgium,6.923
18,United States,6.892
19,Czech Republic,6.852
20,United Arab Emirates,6.825
21,Malta,6.726
22,Mexico,6.595
23,France,6.592
24,Taiwan,6.446
25,Chile,6.444
26,Guatemala,6.436
27,Saudi Arabia,6.375
28,Qatar,6.374
29,Spain,6.354
30,Panama,6.321
31,Brazil,6.3
32,Uruguay,6.293
33,Singapore,6.262
34,El Salvador,6.253
35,Italy,6.223
36,Bahrain,6.199
37,Slovakia,6.198
38,Trinidad and Tobago,6.192
39,Poland,6.182
40,Uzbekistan,6.174
41,Lithuania,6.149
42,Colombia,6.125
43,Slovenia,6.118
44,Nicaragua,6.105
45,Kosovo,6.1
46,Argentina,6.086
47,Romania,6.07
48,Cyprus,6.046
49,Ecuador,6.028
50,Kuwait,6.021
51,Thailand,6.008
52,Latvia,5.94
53,South Korea,5.895
54,Estonia,5.893
55,Jamaica,5.89
56,Mauritius,5.888
57,Japan,5.886
58,Honduras,5.86
59,Kazakhstan,5.809
60,Bolivia,5.779
61,Hungary,5.758
62,Paraguay,5.743
63,North Cyprus,5.718
64,Peru,5.697
65,Portugal,5.693
66,Pakistan,5.653
67,Russia,5.648
68,Philippines,5.631
69,Serbia,5.603
70,Moldova,5.529
71,Libya,5.525
72,Montenegro,5.523
73,Tajikistan,5.467
74,Croatia,5.432
75,Hong Kong,5.43
76,Dominican Republic,5.425
77,Bosnia and Herzegovina,5.386
78,Turkey,5.373
79,Malaysia,5.339
80,Belarus,5.323
81,Greece,5.287
82,Mongolia,5.285
83,Nigeria,5.265
84,Kyrgyzstan,5.261
85,Turkmenistan,5.247
86,Algeria,5.211
87,Morocco,5.208
88,Azerbaijan,5.208
89,Lebanon,5.197
90,Indonesia,5.192
91,China,5.191
92,Vietnam,5.175
93,Bhutan,5.082
94,Cameroon,5.044
95,Bulgaria,5.011
96,Ghana,4.996
97,Ivory Coast,4.944
98,Nepal,4.913
99,Jordan,4.906
100,Benin,4.883
101,Congo (Brazzaville),4.812
102,Gabon,4.799
103,Laos,4.796
104,South Africa,4.722
105,Albania,4.719
106,Venezuela,4.707
107,Cambodia,4.7
108,Palestinian Territories,4.696
109,Senegal,4.681
110,Somalia,4.668
111,Namibia,4.639
112,Niger,4.628
113,Burkina Faso,4.587
114,Armenia,4.559
115,Iran,4.548
116,Guinea,4.534
117,Georgia,4.519
118,Kenya,4.509
119,Mauritania,4.49
120,Mozambique,4.466
121,Tunisia,4.461
122,Bangladesh,4.456
123,Iraq,4.437
124,Congo (Kinshasa),4.418
125,Mali,4.39
126,Sierra Leone,4.374
127,Sri Lanka,4.366
128,Myanmar,4.36
129,Chad,4.35
130,Ukraine,4.332
131,Ethiopia,4.286
132,Swaziland,4.212
133,Uganda,4.189
134,Egypt,4.166
135,Zambia,4.107
136,Togo,4.085
137,India,4.015
138,Liberia,3.975
139,Comoros,3.973
140,Madagascar,3.933
141,Lesotho,3.802
142,Burundi,3.775
143,Zimbabwe,3.663
144,Haiti,3.597
145,Botswana,3.488
146,Syria,3.462
147,Malawi,3.41
148,Yemen,3.38
149,Rwanda,3.334
150,Tanzania,3.231
151,Afghanistan,3.203
152,Central African Republic,3.083
153,South Sudan,2.853
